chr,vcf_nm,vcf_drs,csi_nm,csi_drs,consent
chr20,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr20.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/f285c844-113b-4c13-b2d1-6a7ffe90efb1,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr20.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/0a415c56-1a1f-4afd-b5e5-e720054203fc,c1
chr2,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr2.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/41f46d48-0454-4daf-8ca6-dfb8d35ae931,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr2.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/a2967f03-1563-49dc-8bcb-60435206cd8a,c1
chr6,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr6.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/842e216d-c819-4132-8147-6ff46bc85ae4,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr6.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/ae338b2f-0da0-431c-b4d9-c07a34cdcdfe,c1
chr7,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr7.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/d5a8ed63-8d3b-49e7-aec0-4af233bb2f59,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr7.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/e055d74c-e173-4112-ba91-29941883991a,c1
chr4,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr4.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/cc105a59-02a9-4e19-8c3b-44b144eefb28,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr4.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/9a7c1fec-ca02-47d9-86e4-895d09e3a77e,c1
chr7,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr7.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/3e21a934-eb8c-4be2-9bc0-a6f2e0474778,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr7.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/227aca94-c168-4942-84bc-0ed86429fd19,c2
chr17,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr17.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/6071ee60-5fe4-4ffa-bf27-015931119fcd,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr17.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/e8df2bd2-0200-45db-ad62-1b1afa502bd6,c1
chr14,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr14.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/ed5d2b30-20ac-4fd0-886c-f9dc406d432f,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr14.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/3a619b47-852c-4992-9054-f51b84d3bbf8,c2
chr16,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr16.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/ab6c5b4c-9058-49a4-a03d-f513220b46ff,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr16.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/a6c62520-d8b9-49a1-8a77-c18de952f64e,c2
chr21,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr21.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/097cd284-363b-4d4c-951f-24b833fd97fb,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr21.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/a85e99a3-f2c2-4c8b-944c-5a874e9e6542,c1
chr21,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr21.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/804a9d26-ea7b-4eb5-82e7-b540d419645c,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr21.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/7a79cc22-0cbf-41e7-9cbc-a4a3c8bb0374,c2
chr14,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr14.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/dac05ede-bee1-4124-b0d9-9669dd0da15d,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr14.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/4e372368-6022-419a-be00-94b4e3e51625,c1
chr16,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr16.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/bfab14b5-0fc1-42be-b9a8-2dfd406ad7b8,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr16.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/8f2b7a9b-f284-4f94-98ee-94e04892b2ca,c1
chr13,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr13.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/8145321e-8456-478e-893a-ac158f1be81b,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr13.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/b4d86603-22b5-4a81-aa71-847f515edfd8,c2
chr5,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr5.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/6d9bb231-9c5f-4059-8ff2-40b24a9b5fb6,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr5.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/d12e8853-b420-4f03-9174-a1bcdcd0ff6b,c2
chr18,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr18.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/6c18c984-4b04-4731-b780-fe095fa3ddf1,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr18.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/1e9e6128-2812-435b-b5fe-f94cc3d04c77,c1
chrX,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chrX.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/c2fce60b-5e01-48d2-8945-608a8fd941c2,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chrX.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/f0a16a64-5dcd-4d03-a1f0-895cfcc5753e,c2
chr22,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr22.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/65757b05-911f-4db4-96f3-9116e8b15e18,FRAMINGHAM_phs000974_TOPMed_WGS_freeze.10b.chr22.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/960afddf-7f45-4d35-9aaa-3f66c128212e,c1
chr1,WHI_phs001237_TOPMed_WGS_freeze.10b.chr1.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/1a6700cc-5c93-4e93-9b09-2e2a441267f8,WHI_phs001237_TOPMed_WGS_freeze.10b.chr1.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/5f38314c-3407-4018-a98e-645b28f9f530,c1
chr1,WHI_phs001237_TOPMed_WGS_freeze.10b.chr1.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/128de681-f123-404a-8ae6-792471bba477,WHI_phs001237_TOPMed_WGS_freeze.10b.chr1.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/dd4454ca-347f-47e2-b119-3fea90ed4bb6,c2
chr10,WHI_phs001237_TOPMed_WGS_freeze.10b.chr10.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/e9dd04ac-cf1a-4e45-aef5-4afa46a7d9bd,WHI_phs001237_TOPMed_WGS_freeze.10b.chr10.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/f4ab5794-36b9-408b-8cf5-7f2aacf24c21,c1
chr10,WHI_phs001237_TOPMed_WGS_freeze.10b.chr10.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/1380836b-86a7-4e2c-96c4-9caaaf4b9222,WHI_phs001237_TOPMed_WGS_freeze.10b.chr10.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/92d4b27a-7110-4a8e-abaa-5efe45806f0b,c2
chr11,WHI_phs001237_TOPMed_WGS_freeze.10b.chr11.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/4a607562-048d-42e8-93be-d0ce597e3377,WHI_phs001237_TOPMed_WGS_freeze.10b.chr11.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/e17e2059-dc99-488b-bce3-4ee914db5188,c1
chr11,WHI_phs001237_TOPMed_WGS_freeze.10b.chr11.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/fb94cf2a-3586-4ed5-99f4-ce1d1b827374,WHI_phs001237_TOPMed_WGS_freeze.10b.chr11.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/c920fd9a-bdec-47f6-9ac7-b88fcde9e3a0,c2
chr12,WHI_phs001237_TOPMed_WGS_freeze.10b.chr12.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/90f043bb-cf5b-4a2f-b78b-eedb0b5fc66a,WHI_phs001237_TOPMed_WGS_freeze.10b.chr12.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/25f11c36-6e77-484b-a582-719da691f3c2,c1
chr12,WHI_phs001237_TOPMed_WGS_freeze.10b.chr12.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/6229f917-0b03-46fc-851d-4d00f37eaab7,WHI_phs001237_TOPMed_WGS_freeze.10b.chr12.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/44d21fb3-7a75-46fe-83c2-3cc3e7b38d5c,c2
chr13,WHI_phs001237_TOPMed_WGS_freeze.10b.chr13.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/9be07068-0d86-4a87-81e6-4eb8bf3ebdfa,WHI_phs001237_TOPMed_WGS_freeze.10b.chr13.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/a5c0ff55-dabf-41f1-b00c-85a13028ac46,c1
chr13,WHI_phs001237_TOPMed_WGS_freeze.10b.chr13.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/2e2e0eed-4a62-492d-bbb4-78d22855fac9,WHI_phs001237_TOPMed_WGS_freeze.10b.chr13.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/951c9588-437e-4aa1-9320-8882600c9895,c2
chr14,WHI_phs001237_TOPMed_WGS_freeze.10b.chr14.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/e1b207d3-cb1b-478d-83c7-7116c0d81dc5,WHI_phs001237_TOPMed_WGS_freeze.10b.chr14.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/af18283f-4312-4f40-b286-230d89e81cdb,c1
chr14,WHI_phs001237_TOPMed_WGS_freeze.10b.chr14.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/94d51e83-f134-45b9-afea-b4e66af1437a,WHI_phs001237_TOPMed_WGS_freeze.10b.chr14.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/8c0c145c-4a8c-4275-8b46-8ac989b6e024,c2
chr15,WHI_phs001237_TOPMed_WGS_freeze.10b.chr15.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/85b9f49d-2595-420b-a4d0-90067a0bbdb4,WHI_phs001237_TOPMed_WGS_freeze.10b.chr15.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/22e57b5c-7d5d-4cfc-9818-80e49a932041,c1
chr15,WHI_phs001237_TOPMed_WGS_freeze.10b.chr15.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/d50be829-ae08-454a-9ad6-5002cfd68a35,WHI_phs001237_TOPMed_WGS_freeze.10b.chr15.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/73a9508a-0235-4365-8249-850530e47c3c,c2
chr16,WHI_phs001237_TOPMed_WGS_freeze.10b.chr16.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/28881ede-5c1d-4c00-ab6f-83198af290fd,WHI_phs001237_TOPMed_WGS_freeze.10b.chr16.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/e3228bab-49fb-44db-9dbd-4a94ea956996,c1
chr16,WHI_phs001237_TOPMed_WGS_freeze.10b.chr16.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/399bf35d-fd08-4408-8f4d-df1d317bd616,WHI_phs001237_TOPMed_WGS_freeze.10b.chr16.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/08a41bde-0e62-4f6a-939e-a2605f3d9e60,c2
chr17,WHI_phs001237_TOPMed_WGS_freeze.10b.chr17.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/46f007a2-6fbc-4c43-b9ce-6143d3aa94e8,WHI_phs001237_TOPMed_WGS_freeze.10b.chr17.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/012b386e-2968-4a13-9abc-95c13510613f,c1
chr17,WHI_phs001237_TOPMed_WGS_freeze.10b.chr17.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/e4da69bb-285f-4158-93bc-14f693db6974,WHI_phs001237_TOPMed_WGS_freeze.10b.chr17.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/376f5289-ad25-4cc6-be48-7505e89fbeb6,c2
chr18,WHI_phs001237_TOPMed_WGS_freeze.10b.chr18.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/109d71c5-7519-4e7c-bbcd-f85887a6f763,WHI_phs001237_TOPMed_WGS_freeze.10b.chr18.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/ccdda4b5-63d5-43cf-96b7-732fa04ff0a5,c1
chr18,WHI_phs001237_TOPMed_WGS_freeze.10b.chr18.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/63e99b54-79e1-43cd-8771-d23fe7078424,WHI_phs001237_TOPMed_WGS_freeze.10b.chr18.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/d3a3f2aa-90a9-490b-ae19-cb005c505152,c2
chr19,WHI_phs001237_TOPMed_WGS_freeze.10b.chr19.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/63ccf724-8683-4068-a2f4-d81ba5094080,WHI_phs001237_TOPMed_WGS_freeze.10b.chr19.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/64078e5a-e907-46f5-b8e1-e3bc4e619b14,c1
chr19,WHI_phs001237_TOPMed_WGS_freeze.10b.chr19.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/d7df8d39-0d42-45db-af77-b14d1577c042,WHI_phs001237_TOPMed_WGS_freeze.10b.chr19.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/af698c9e-1ecb-4ac6-afc6-433a90fabc79,c2
chr2,WHI_phs001237_TOPMed_WGS_freeze.10b.chr2.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/83842bd5-f764-4306-9332-97fcfe192878,WHI_phs001237_TOPMed_WGS_freeze.10b.chr2.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/dc3dd136-da1b-45ac-8dc0-15322975879e,c1
chr2,WHI_phs001237_TOPMed_WGS_freeze.10b.chr2.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/e8c3e8b7-fa6f-416b-a34d-76c3166d59b4,WHI_phs001237_TOPMed_WGS_freeze.10b.chr2.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/00954912-078e-48e5-8e85-26090112e561,c2
chr20,WHI_phs001237_TOPMed_WGS_freeze.10b.chr20.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/1aaaeacc-5509-415a-84f9-3d402a6030f5,WHI_phs001237_TOPMed_WGS_freeze.10b.chr20.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/d12c9c11-3350-4c03-be11-9461ec615e96,c1
chr20,WHI_phs001237_TOPMed_WGS_freeze.10b.chr20.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/06e455cd-456b-43be-8717-d5f603a5177d,WHI_phs001237_TOPMed_WGS_freeze.10b.chr20.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/07734298-3545-4cbd-ac1c-2306ed07490e,c2
chr21,WHI_phs001237_TOPMed_WGS_freeze.10b.chr21.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/a9aa1515-816a-48be-b753-f2fe7418a97f,WHI_phs001237_TOPMed_WGS_freeze.10b.chr21.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/4b66a2f9-be89-4051-80b4-58135b74486d,c1
chr21,WHI_phs001237_TOPMed_WGS_freeze.10b.chr21.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/e3631f5a-6390-4cc2-904d-90a6b981169b,WHI_phs001237_TOPMed_WGS_freeze.10b.chr21.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/1e3f65f8-6cec-4ccd-b102-b1f8427a8e9b,c2
chr22,WHI_phs001237_TOPMed_WGS_freeze.10b.chr22.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/fd200a99-659e-4f8f-a740-28c71f1bf1cb,WHI_phs001237_TOPMed_WGS_freeze.10b.chr22.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/b3184b36-29e7-44fd-ab97-ad6134e9af87,c1
chr22,WHI_phs001237_TOPMed_WGS_freeze.10b.chr22.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/0055efb5-1659-466c-a289-a200c918e6f2,WHI_phs001237_TOPMed_WGS_freeze.10b.chr22.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/3287bf59-f3e1-4406-9349-61adc2c9c711,c2
chr3,WHI_phs001237_TOPMed_WGS_freeze.10b.chr3.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/fd77f779-d349-47f5-99b6-4b4c1da31a77,WHI_phs001237_TOPMed_WGS_freeze.10b.chr3.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/2252500e-59c8-48f6-aa05-65b7b8b45b43,c1
chr3,WHI_phs001237_TOPMed_WGS_freeze.10b.chr3.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/3dd4f91c-17c7-4f15-8935-1abe26fdc7a4,WHI_phs001237_TOPMed_WGS_freeze.10b.chr3.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/8a4bade8-6a32-484a-9017-37015276878b,c2
chr4,WHI_phs001237_TOPMed_WGS_freeze.10b.chr4.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/df67677b-422e-4706-846b-d1fed0949ac8,WHI_phs001237_TOPMed_WGS_freeze.10b.chr4.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/c0950ee5-6b16-4d3c-b9e3-7fca4e68c857,c1
chr4,WHI_phs001237_TOPMed_WGS_freeze.10b.chr4.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/8f10193b-0b0a-4bbf-866c-ef3449b9c7d3,WHI_phs001237_TOPMed_WGS_freeze.10b.chr4.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/0f68c85f-7625-4729-b4a5-2744fcc590a3,c2
chr5,WHI_phs001237_TOPMed_WGS_freeze.10b.chr5.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/09323408-61b8-4e71-a5c1-a2965eda2b5c,WHI_phs001237_TOPMed_WGS_freeze.10b.chr5.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/680ccb63-1304-438e-a820-e94647d56b09,c1
chr5,WHI_phs001237_TOPMed_WGS_freeze.10b.chr5.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/c18ab933-1549-435b-b01e-5a5ad0970bb9,WHI_phs001237_TOPMed_WGS_freeze.10b.chr5.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/5a12b2d3-db9a-4268-9643-2fb37ae878e1,c2
chr6,WHI_phs001237_TOPMed_WGS_freeze.10b.chr6.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/7ade084b-e237-4ab0-a944-b5e3450449f4,WHI_phs001237_TOPMed_WGS_freeze.10b.chr6.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/18321bfd-2154-4f6b-8a9e-07e3774293ac,c1
chr6,WHI_phs001237_TOPMed_WGS_freeze.10b.chr6.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/f5c93ce0-766b-4abb-b000-a5c4881ec1d2,WHI_phs001237_TOPMed_WGS_freeze.10b.chr6.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/01ef901a-8591-446a-9928-8c79d153b234,c2
chr7,WHI_phs001237_TOPMed_WGS_freeze.10b.chr7.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/95facf2c-1fe7-4a38-b3ce-2f8a39d8b239,WHI_phs001237_TOPMed_WGS_freeze.10b.chr7.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/4216cac6-6915-4acf-be06-bffea38aa860,c1
chr7,WHI_phs001237_TOPMed_WGS_freeze.10b.chr7.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/b2be53d8-4031-40a8-bcdb-3a185401101d,WHI_phs001237_TOPMed_WGS_freeze.10b.chr7.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/d0c13c31-78ea-4b54-8404-9e29a090032a,c2
chr8,WHI_phs001237_TOPMed_WGS_freeze.10b.chr8.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/eb7830d6-350a-43d4-a3ed-beb510ea7f06,WHI_phs001237_TOPMed_WGS_freeze.10b.chr8.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/88d1d6ec-0939-4960-a3f4-eca50828173b,c1
chr8,WHI_phs001237_TOPMed_WGS_freeze.10b.chr8.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/ef577363-abb8-402d-b835-334fc0daa391,WHI_phs001237_TOPMed_WGS_freeze.10b.chr8.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/39c60e14-9877-413d-a9a7-2ba109a93489,c2
chr9,WHI_phs001237_TOPMed_WGS_freeze.10b.chr9.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/3346639e-57a5-4492-ae3e-2b102064a7d6,WHI_phs001237_TOPMed_WGS_freeze.10b.chr9.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/f71a509d-8882-4116-8bd2-6f0b7dfef773,c1
chr9,WHI_phs001237_TOPMed_WGS_freeze.10b.chr9.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/dc6b0bca-e95b-4951-9771-1d7d15ee323f,WHI_phs001237_TOPMed_WGS_freeze.10b.chr9.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/827b4991-61bd-488e-9a9e-53962171ab03,c2
chrX,WHI_phs001237_TOPMed_WGS_freeze.10b.chrX.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/6739cc7e-612b-4067-90d0-0d882af5f56b,WHI_phs001237_TOPMed_WGS_freeze.10b.chrX.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/26df1396-1cba-4d4d-889b-114b2db36db1,c1
chrX,WHI_phs001237_TOPMed_WGS_freeze.10b.chrX.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/ecb7c2b0-3342-4ca7-80a4-d6a2c3fb91fa,WHI_phs001237_TOPMed_WGS_freeze.10b.chrX.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/9d462ae9-ed25-4159-be1d-edf21c4012b4,c2
